RuleID,MSOfficeCategory,WCAGCriteria,Severity,AppliesTo,Description,Remediation
AllCapsText,Text,1.4.8,Warning,"DOCX, PPTX, MD",Text is typed entirely in capital letters. TTS engines may read each letter individually or stress words unnaturally.,Use mixed-case text. Apply a character style or CSS rule with text-transform:uppercase rather than typing in capitals.
AltTextIsFilename,Missing alternative text,1.1.1,Error,MD,Alt text appears to be a filename rather than a meaningful description.,Replace the filename with a description of what the image shows and why it matters in context.
AltTextRedundantPrefix,Missing alternative text,1.1.1,Warning,MD,"Alt text begins with 'image of', 'picture of', or 'photo of'. Screen readers already announce the element is an image.",Remove the redundant prefix and begin the alt text with the actual description.
AltTextTooShort,Missing alternative text,1.1.1,Warning,MD,Alt text is present but very short (fewer than 3 characters) and unlikely to convey meaningful information.,Expand the alt text to describe the image content and its purpose in context.
BareUrl,Hyperlink,2.4.4,Warning,MD,A raw URL appears in text without descriptive link text. Screen readers read the URL character by character.,Wrap the URL in a Markdown link: [Descriptive text](https://url).
BlankOrGenericColumnHeader,Missing table header,1.3.1,Error,XLSX,An Excel Table column header is blank or uses a generic label like Column1.,"Click the header cell and enter a concise, descriptive label."
BlankRowsUsedForLayout,Use of blank cells for formatting,1.3.2,Warning,XLSX,Multiple consecutive blank rows within data suggest blank rows are used for visual spacing.,Remove blank rows used for spacing. Use row height and cell padding via Format Cells instead.
BlankTableHeader,Missing table header,1.3.1,Error,MD,A Pandoc pipe table has one or more blank column header cells.,Add a descriptive label to each column header cell.
ChartMissingAltText,Missing alternative text,1.1.1,Error,"XLSX, PPTX",A chart has no alt text. Without alt text a blind user receives no information about the chart's content or key finding.,"Select the chart, right-click its border, choose Edit Alt Text, and describe the chart's key finding."
ChartMissingAxisTitle,Missing table header,1.3.1,Warning,"XLSX, PPTX",A chart axis has no title label. Users cannot determine what quantity or categories are represented.,Select the chart and add axis titles via Chart Design > Add Chart Element > Axis Titles. Include units where applicable.
ChartMissingTitle,Object has no title or name,1.3.1,Error,"XLSX, PPTX","A chart has no title. Without a title, users cannot identify what the chart represents.","Select the chart, go to Chart Design > Add Chart Element > Chart Title, and enter a descriptive title."
CodeBlockMissingLanguage,Code,1.3.3,Warning,MD,A fenced code block has no language specifier. Screen reader users receive no cue about what kind of code they are reading.,"Add a language identifier after the opening fence: ```python, ```bash, ```json, etc."
ColorUsedAlone,Use of color alone,1.4.1,Warning,XLSX,Empty cells with background fill color may be conveying status through color alone.,Add a text label or symbol inside the colored cell that conveys the same meaning as the color.
ComplexTableHeaders,Complex table,1.3.1,Warning,DOCX,Table has header cells in both the first row and first column. Screen readers may not correctly associate data cells with both row and column headers.,"Verify screen reader navigation. If possible, restructure into simpler tables. Test with NVDA or JAWS."
DefaultSheetName,Object has no title or name,2.4.6,Warning,XLSX,"A worksheet tab has a default name (Sheet1, Sheet2, etc.). Screen readers announce the tab name when navigating.","Right-click the tab and choose Rename. Enter a concise, descriptive name."
DefaultTableName,Object has no title or name,2.4.6,Warning,XLSX,"An Excel Table has a default name (Table1, Table2, etc.).","Click inside the table, go to Table Design, and replace the default name with a descriptive identifier. No spaces allowed."
DuplicateHeadingText,Heading issues,2.4.6,Warning,"DOCX, PPTX, MD","Two headings at the same level share identical text, creating ambiguous navigation in screen reader heading lists.",Make each heading uniquely descriptive of its section.
EmptyHeading,Heading issues,1.3.1,Error,MD,A heading marker is present but contains no text. Empty headings create phantom navigation stops.,"Add descriptive text after the heading marker, or remove the marker if no heading is intended."
EmptyLinkText,Hyperlink,2.4.4,Error,MD,A Markdown link has no visible text. Screen readers read the raw URL or produce no output.,Add descriptive text between the square brackets that describes where the link leads.
EmptyTableCell,Blank cells used for formatting,1.3.1,Warning,"DOCX, XLSX, MD",A table cell is empty. Screen reader users may be uncertain whether the cell is intentionally blank.,"Add content, use a dash or N/A for missing data, or restructure the table to eliminate unnecessary cells."
EntireLineBolded,Text,1.3.1,Warning,MD,An entire line is bold. Bolding long passages reduces the emphasis signal for screen reader users.,"Use bold sparingly for key terms. If the intent is a heading, use a heading marker instead."
ExcessiveBlankLines,Repeated blank characters,1.3.2,Warning,MD,Three or more consecutive blank lines used for visual spacing.,Remove extra blank lines. Use a single blank line to separate paragraphs.
ExcessiveTrailingSpaces,Repeated blank characters,1.3.2,Warning,MD,A line has more than two trailing spaces. Exactly two trailing spaces are an intentional hard line break in Pandoc Markdown; more than two is almost always unintentional.,Remove the extra trailing spaces.
FakeInlineBullet,List not used correctly,1.3.1,Warning,MD,A Unicode bullet character is used as an inline list marker rather than a Markdown list item.,Use proper Markdown list items: start each item on its own line with - or * followed by a space.
